id,prefectures,areacodes,areasin2000,prefectures2020,areacodes2020,areas,population,popmale,popfemale
a,00_Japan,0,2000.0,00_Japan,0,0001_Japan,126146099.0,"61,349,581 ","64,796,518 "
a,01_Hokkaido,1000,2000.0,01_Hokkaido,1000,0002_Hokkaido,5224614.0,"2,465,088 ","2,759,526 "
1,01_Hokkaido,1100,2000.0,01_Hokkaido,1100,0003_Sapporo-shi,1973395.0,"918,682 ","1,054,713 "
0,01_Hokkaido,1101,2000.0,01_Hokkaido,1101,0004_Sapporo-shi Chuo-ku,248680.0,"112,853 ","135,827 "
0,01_Hokkaido,1102,2000.0,01_Hokkaido,1102,0005_Sapporo-shi Kita-ku,289323.0,"136,596 ","152,727 "
0,01_Hokkaido,1103,2000.0,01_Hokkaido,1103,0006_Sapporo-shi Higashi-ku,265379.0,"126,023 ","139,356 "
0,01_Hokkaido,1104,2000.0,01_Hokkaido,1104,0007_Sapporo-shi Shiroishi-ku,211835.0,"100,062 ","111,773 "
0,01_Hokkaido,1105,2000.0,01_Hokkaido,1105,0008_Sapporo-shi Toyohira-ku,225298.0,"104,154 ","121,144 "
0,01_Hokkaido,1106,2000.0,01_Hokkaido,1106,0009_Sapporo-shi Minami-ku,135777.0,"62,347 ","73,430 "
0,01_Hokkaido,1107,2000.0,01_Hokkaido,1107,0010_Sapporo-shi Nishi-ku,217040.0,"100,027 ","117,013 "
0,01_Hokkaido,1108,2000.0,01_Hokkaido,1108,0011_Sapporo-shi Atsubetsu-ku,125083.0,"56,755 ","68,328 "
0,01_Hokkaido,1109,2000.0,01_Hokkaido,1109,0012_Sapporo-shi Teine-ku,142625.0,"66,913 ","75,712 "
0,01_Hokkaido,1110,2000.0,01_Hokkaido,1110,0013_Sapporo-shi Kiyota-ku,112355.0,"52,952 ","59,403 "
2,01_Hokkaido,1202,,01_Hokkaido,1202,0014_Hakodate-shi,251084.0,"113,965 ","137,119 "
9,01_Hokkaido,1202,2000.0,01_Hokkaido,1202,0015_(Municipalities as of 2000) Hakodate-shi,241024.0,"109,284 ","131,740 "
9,01_Hokkaido,1339,2000.0,01_Hokkaido,1202,0016_(Municipalities as of 2000) Toi-cho,2291.0,"1,026 ","1,265 "
9,01_Hokkaido,1340,2000.0,01_Hokkaido,1202,0017_(Municipalities as of 2000) Esan-cho,2486.0,"1,164 ","1,322 "
9,01_Hokkaido,1341,2000.0,01_Hokkaido,1202,0018_(Municipalities as of 2000) Todohokke-mura,745.0,338 ,407 
9,01_Hokkaido,1342,2000.0,01_Hokkaido,1202,0019_(Municipalities as of 2000) Minamikayabe-cho,4538.0,"2,153 ","2,385 "
2,01_Hokkaido,1203,2000.0,01_Hokkaido,1203,0020_Otaru-shi,111299.0,"50,136 ","61,163 "
2,01_Hokkaido,1204,2000.0,01_Hokkaido,1204,0021_Asahikawa-shi,329306.0,"152,108 ","177,198 "
2,01_Hokkaido,1205,2000.0,01_Hokkaido,1205,0022_Muroran-shi,82383.0,"40,390 ","41,993 "
2,01_Hokkaido,1206,,01_Hokkaido,1206,0023_Kushiro-shi,165077.0,"77,506 ","87,571 "
9,01_Hokkaido,1206,2000.0,01_Hokkaido,1206,0024_(Municipalities as of 2000) Kushiro-shi,159011.0,"74,548 ","84,463 "
9,01_Hokkaido,1666,2000.0,01_Hokkaido,1206,0025_(Municipalities as of 2000) Akan-cho,4390.0,"2,127 ","2,263 "
9,01_Hokkaido,1669,2000.0,01_Hokkaido,1206,0026_(Municipalities as of 2000) Ombetsu-cho,1676.0,831 ,845 
2,01_Hokkaido,1207,2000.0,01_Hokkaido,1207,0027_Obihiro-shi,166536.0,"79,623 ","86,913 "
2,01_Hokkaido,1208,,01_Hokkaido,1208,0028_Kitami-shi,115480.0,"54,729 ","60,751 "
9,01_Hokkaido,1208,2000.0,01_Hokkaido,1208,0029_(Municipalities as of 2000) Kitami-shi,102000.0,"48,392 ","53,608 "
9,01_Hokkaido,1548,2000.0,01_Hokkaido,1208,0030_(Municipalities as of 2000) Tanno-cho,4384.0,"2,126 ","2,258 "
9,01_Hokkaido,1551,2000.0,01_Hokkaido,1208,0031_(Municipalities as of 2000) Rubeshibe-cho,5570.0,"2,565 ","3,005 "
9,01_Hokkaido,1553,2000.0,01_Hokkaido,1208,0032_(Municipalities as of 2000) Tokoro-cho,3526.0,"1,646 ","1,880 "
2,01_Hokkaido,1209,2000.0,01_Hokkaido,1209,0033_Yubari-shi,7334.0,"3,381 ","3,953 "
2,01_Hokkaido,1210,,01_Hokkaido,1210,0034_Iwamizawa-shi,79306.0,"37,105 ","42,201 "
9,01_Hokkaido,1210,2000.0,01_Hokkaido,1210,0035_(Municipalities as of 2000) Iwamizawa-shi,72184.0,"33,758 ","38,426 "
9,01_Hokkaido,1421,2000.0,01_Hokkaido,1210,0036_(Municipalities as of 2000) Kita-mura,2320.0,"1,095 ","1,225 "
9,01_Hokkaido,1422,2000.0,01_Hokkaido,1210,0037_(Municipalities as of 2000) Kurisawa-cho,4802.0,"2,252 ","2,550 "
2,01_Hokkaido,1211,2000.0,01_Hokkaido,1211,0038_Abashiri-shi,35759.0,"18,060 ","17,699 "
2,01_Hokkaido,1212,2000.0,01_Hokkaido,1212,0039_Rumoi-shi,20114.0,"9,649 ","10,465 "
2,01_Hokkaido,1213,2000.0,01_Hokkaido,1213,0040_Tomakomai-shi,170113.0,"83,522 ","86,591 "
2,01_Hokkaido,1214,2000.0,01_Hokkaido,1214,0041_Wakkanai-shi,33563.0,"16,651 ","16,912 "
2,01_Hokkaido,1215,2000.0,01_Hokkaido,1215,0042_Bibai-shi,20413.0,"9,565 ","10,848 "
2,01_Hokkaido,1216,2000.0,01_Hokkaido,1216,0043_Ashibetsu-shi,12555.0,"5,762 ","6,793 "
2,01_Hokkaido,1217,2000.0,01_Hokkaido,1217,0044_Ebetsu-shi,121056.0,"57,523 ","63,533 "
2,01_Hokkaido,1218,2000.0,01_Hokkaido,1218,0045_Akabira-shi,9698.0,"4,388 ","5,310 "
